,title,text,clean_text
56,"11.4.1 perform quantitative risk analysis: input
",,
57,"11.4.1.1 project management plan
","described in section 4.2.3.1. project management plan components include but are not limited to:
@ risk management plan. described in section 11.1.3.1. the risk management plan specifies whether quantitative
risk analysis is required for the project. it also details the resources available for the analysis and the expected
frequency of analyses.
schedule baseline. described in section 6.5.3.1. the schedule baseline describes the starting point from whic!
the effect of individual project risks and other sources of uncertainty can be evaluated.
@ cost baseline. described in section 7.3.3.1. the cost baseline describes the starting point from |
of individual project risks and other sources of uncertainty can be evaluated.
",describe in section 4.2.3.1. project management plan component include but be not limit to : risk management plan . describe in section 11.1.3.1. the risk management plan specify whether quantitativerisk analysis be require for the project . it also detail the resource available for the analysis and the expectedfrequency of analyses.schedule baseline . describe in section 6.5.3.1. the schedule baseline describe the start point from whic ! the effect of individual project risk and other source of uncertainty can be evaluate . cost baseline . describe in section 7.3.3.1. the cost baseline describe the start point from |of individual project risk and other source of uncertainty can be evaluate .
58,"11.4.1.2 project documents
","@ assumption log. described in section 4.1.3.2. assumptions may form inputs to the quantitative risk analysis if
they are assessed as posing a risk to project objectives. the effect of constraints may also be modeled during a
quantitative risk analysis.
@ basis of estimates. described in sections 6.4.3.2 and 7.2.3.2. the basis of estimates used in the planning of
the project may be reflected in variability modeled during a quantitative risk analysis process. this may include
information on the estimate’s purpose, classification, assumed accuracy, methodology, and source.
@ cost estimates. described in section 7.2.3.1. cost estimates provide the starting point from which cost variability
is evaluated.
@ cost forecasts. described in section 7.4.3.2. forecasts such as the project’s estimate to complete (etc),
estimate at completion (eac), budget at completion (bac), and to-complete performance index (tcpi) may be
compared to the results of a quantitative cost risk analysis to determine the confidence level associated with
achieving these targets.
> duration estimates. described in section 6.4.3.1. duration estimates provide the starting point from whic
schedule variability is evaluated.
@ milestone list. described in section 6.2.3.3. significant events in the project define the schedule targets against
which the results of a quantitative schedule risk analysis are compared, in order to determine the confidence
level associated with achieving these targets.
@ Resource requirements. Described in Section 9.2.3.1. Resource requirements provide the starting point from
which variability is evaluated.
@ Schedule forecasts. Described in Section 6.6.3.2. Forecasts may be compared to the results of a quantitative
schedule risk analysis to determine the confidence level associated with achieving these targets.
","assumption log . describe in section 4.1.3.2. assumption may form input to the quantitative risk analysis ifthey be assess a pose a risk to project objective . the effect of constraint may also be model during aquantitative risk analysis . basis of estimate . describe in section 6.4.3.2 and 7.2.3.2. the basis of estimate use in the planning ofthe project may be reflect in variability model during a quantitative risk analysis process . this may includeinformation on the estimate ’ s purpose , classification , assume accuracy , methodology , and source . cost estimate . describe in section 7.2.3.1. cost estimate provide the start point from which cost variabilityis evaluate . cost forecast . describe in section 7.4.3.2. forecast such a the project ’ s estimate to complete ( etc ) , estimate at completion ( eac ) , budget at completion ( bac ) , and to-complete performance index ( tcpi ) may becompared to the result of a quantitative cost risk analysis to determine the confidence level associate withachieving these targets. > duration estimate . describe in section 6.4.3.1. duration estimate provide the start point from whicschedule variability be evaluate . milestone list . describe in section 6.2.3.3. significant event in the project define the schedule target againstwhich the result of a quantitative schedule risk analysis be compare , in order to determine the confidencelevel associate with achieve these target . resource requirement . describe in section 9.2.3.1 . resource requirement provide the starting point fromwhich variability be evaluate . schedule forecast . describe in section 6.6.3.2 . forecast may be compare to the result of a quantitativeschedule risk analysis to determine the confidence level associate with achieve these target ."
59,"11.4.1.3 enterprise environmental factors
","@ published material, including commercial risk databases or checklist
","publish material , include commercial risk database or checklist"
60,"11.4.1.4 organizational process assets
",,
61,"11.4.2 perform quantitative risk analysis: tools and techniques
",,
62,"11.4.2.1 expert judgment
","piet.2.) lap eee vuduniline

described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized knowledge
or training in the following topics:
translating information on individual project risks and other sources of uncertainty into numeric inputs for the
niantitative rick analyeie mndaol
quantitative risk analysis model,
@ selecting the most appropriate representation of uncertain
@ modeling techniques that are appropriate in the context
@ identifying which tools would be most suitable for the se

@ interpreting the outputs of quantitative risk analysis.
","piet.2 . ) lap eee vudunilinedescribed in section 4.1.2.1. expertise should be consider from individual or group with specialized knowledgeor training in the following topic : translate information on individual project risk and other source of uncertainty into numeric input for theniantitative rick analyeie mndaolquantitative risk analysis model , select the most appropriate representation of uncertain model technique that be appropriate in the context identifying which tool would be most suitable for the se interpret the output of quantitative risk analysis ."
63,"11.4.2.2 data gathering
","interviews (see section 5.2.2.2) may be used to generate inputs for the quantitative risk analysis, drawing on inputs
that include individual project risks and other sources of uncertainty. this is particularly useful where information is
required from experts. the interviewer should promote an environment of trust and confidentiality during the interview
to encourage honest and unbiased contributions.
","interview ( see section 5.2.2.2 ) may be use to generate input for the quantitative risk analysis , draw on inputsthat include individual project risk and other source of uncertainty . this be particularly useful where information isrequired from expert . the interviewer should promote an environment of trust and confidentiality during the interviewto encourage honest and unbiased contribution ."
64,"11.4.2.3 interpersonal and team skills
","interpersonal and team skills that can be used for this process include but are not limited to facilitation (see
section 4.1.2.3). a skilled facilitator is useful for gathering input data during a dedicated risk workshop involving
project team members and other stakeholders. facilitated workshops can improve effectiveness by establishing a
clear understanding of the purpose of the workshop, building consensus among participants, ensuring continued
focus on the task, and using creative approaches to deal with interpersonal conflict or sources of bias.
","interpersonal and team skill that can be use for this process include but be not limit to facilitation ( seesection 4.1.2.3 ) . a skilled facilitator be useful for gather input data during a dedicate risk workshop involvingproject team member and other stakeholder . facilitate workshop can improve effectiveness by establish aclear understanding of the purpose of the workshop , build consensus among participant , ensure continuedfocus on the task , and use creative approach to deal with interpersonal conflict or source of bias ."
65,"11.4.2.4 representations of uncertainty
","quantitative risk analysis requires inputs to a quantitative risk analysis model that reflect individual project risks and
ther sources of uncertainty.
where the duration, cost, or resource requirement for a planned activity is uncertain, the range of possible values
can be represented in the model as a probability distribution. this may take several forms. the most commonly used
are triangular, normal, lognormal, beta, uniform, or discrete distributions. care should be taken when selecting an
appropriate probability distribution to reflect the range of possible values for the planned activity.
individual project risks may be covered by probability distributions. alternatively, risks may be included in the
model as probabilistic branches, where optional activities are added to the model to represent the time and/or cost
impact of the risk should it occur, and the chance that these activities actually occur in a particular simulation run
matches the risk’s probability. branches are most useful for risks that might occur independently of any planned
activity. where risks are related, for example, with a common cause or a logical dependency, correlation is used in
the model to indicate this relationship.
","quantitative risk analysis require input to a quantitative risk analysis model that reflect individual project risk andther source of uncertainty.where the duration , cost , or resource requirement for a planned activity be uncertain , the range of possible valuescan be represent in the model a a probability distribution . this may take several form . the most commonly usedare triangular , normal , lognormal , beta , uniform , or discrete distribution . care should be take when select anappropriate probability distribution to reflect the range of possible value for the planned activity.individual project risk may be cover by probability distribution . alternatively , risk may be include in themodel a probabilistic branch , where optional activity be add to the model to represent the time and/or costimpact of the risk should it occur , and the chance that these activity actually occur in a particular simulation runmatches the risk ’ s probability . branch be most useful for risk that might occur independently of any plannedactivity . where risk be relate , for example , with a common cause or a logical dependency , correlation be use inthe model to indicate this relationship ."
66,"11.4.2.5 data analysis
","data analysis techniques that can be used during this process include but are not limited to:
@ simulation. quantitative risk analysis uses a model that simulates the combined effects of individual project risks
and other sources of uncertainty to evaluate their potential impact on achieving project objectives. simulation:
are typically performed using a monte carlo analysis. when running a monte carlo analysis for cost risk, the
simulation uses the project cost estimates. when running a monte carlo analysis for schedule risk, the schedule
network diagram and duration estimates are used. an integrated quantitative cost-schedule risk analysis use:
both inputs. the output is a quantitative risk analysis model.
computer software is used to iterate the quantitative risk analysis model several thousand times. the input
values (e.g., cost estimates, duration estimates, or occurrence of probabilistic branches) are chosen at random
for each iteration. outputs represent the range of possible outcomes for the project (e.g., project end date,
project cost at completion). typical outputs include a histogram presenting the number of iterations where a
particular outcome resulted from the simulation, or a cumulative probability distribution (s-curve) representing
the probability of achieving any particular outcome or less. an example s-curve from a monte carlo cost risk
analysis is shown in figure 11-13.
figure 11-13. example s-curve from quantitative cost risk analysis
For a quantitative schedule risk analysis, it is also possible to conduct a criticality analysis that determines which
elements of the risk model have the greatest effect on the project critical path. A criticality index is calculated for
each element in the risk model, which gives the frequency with which that element appears on the critical path
during the simulation, usually expressed as a percentage. The output from a criticality analysis allows the project
team to focus risk response planning efforts on those activities with the highest potential effect on the overall
schedule performance of the project.
@ Sensitivity analysis. Sensitivity analysis helps to determine which individual project risks or other sources of
uncertainty have the most potential impact on project outcomes. It correlates variations in project outcomes with
variations in elements of the quantitative risk analysis model.
One typical display of sensitivity analysis is the tornado diagram, which presents the calculated correlation
coefficient for each element of the quantitative risk analysis model that can influence the project outcome.
This can include individual project risks, project activities with high degrees of variability, or specific sources
of ambiguity. Items are ordered by descending strength of correlation, giving the typical tornado appearance.
An example tornado diagram is shown in Figure 11-14.
Figure 11-14. Example Tornado Diagram
@ Decision tree analysis. Decision trees are used to support selection of the best of several alternative courses 0
action. Alternative paths through the project are shown in the decision tree using branches representing differen
decisions or events, each of which can have associated costs and related individual project risks (including bott
threats and opportunities). The end-points of branches in the decision tree represent the outcome from followin
that particular path, which can be negative or positive.
Figure 11-15. Example Decision Tree
@ Influence diagrams. Influence diagrams are graphical aids to decision making under uncertainty. An influence
diagram represents a project or situation within the project as a set of entities, outcomes, and influences, together
with the relationships and effects between them. Where an element in the influence diagram is uncertain as a
result of the existence of individual project risks or other sources of uncertainty, this can be represented in the
influence diagram using ranges or probability distributions. The influence diagram is then evaluated using a
simulation technique, such as Monte Carlo analysis, to indicate which elements have the greatest influence
on key outcomes. Outputs from an influence diagram are similar to other quantitative risk analysis methods,
including S-curves and tornado diagrams.
","data analysis technique that can be use during this process include but be not limit to : simulation . quantitative risk analysis use a model that simulate the combined effect of individual project risksand other source of uncertainty to evaluate their potential impact on achieve project objective . simulation : be typically perform use a monte carlo analysis . when run a monte carlo analysis for cost risk , thesimulation use the project cost estimate . when run a monte carlo analysis for schedule risk , the schedulenetwork diagram and duration estimate be use . an integrated quantitative cost-schedule risk analysis use : both input . the output be a quantitative risk analysis model.computer software be use to iterate the quantitative risk analysis model several thousand time . the inputvalues ( e.g. , cost estimate , duration estimate , or occurrence of probabilistic branch ) be choose at randomfor each iteration . output represent the range of possible outcome for the project ( e.g. , project end date , project cost at completion ) . typical output include a histogram present the number of iteration where aparticular outcome result from the simulation , or a cumulative probability distribution ( s-curve ) representingthe probability of achieve any particular outcome or less . an example s-curve from a monte carlo cost riskanalysis be show in figure 11-13.figure 11-13. example s-curve from quantitative cost risk analysisfor a quantitative schedule risk analysis , it be also possible to conduct a criticality analysis that determine whichelements of the risk model have the great effect on the project critical path . a criticality index be calculate foreach element in the risk model , which give the frequency with which that element appear on the critical pathduring the simulation , usually express a a percentage . the output from a criticality analysis allow the projectteam to focus risk response plan effort on those activity with the high potential effect on the overallschedule performance of the project . sensitivity analysis . sensitivity analysis help to determine which individual project risk or other source ofuncertainty have the most potential impact on project outcome . it correlate variation in project outcome withvariations in element of the quantitative risk analysis model.one typical display of sensitivity analysis be the tornado diagram , which present the calculated correlationcoefficient for each element of the quantitative risk analysis model that can influence the project outcome.this can include individual project risk , project activity with high degree of variability , or specific sourcesof ambiguity . item be order by descend strength of correlation , give the typical tornado appearance.an example tornado diagram be show in figure 11-14.figure 11-14 . example tornado diagram decision tree analysis . decision tree be use to support selection of the best of several alternative course 0action . alternative path through the project be show in the decision tree use branch represent differendecisions or event , each of which can have associate cost and related individual project risk ( include bottthreats and opportunity ) . the end-points of branch in the decision tree represent the outcome from followinthat particular path , which can be negative or positive.figure 11-15 . example decision tree influence diagram . influence diagram be graphical aid to decision make under uncertainty . an influencediagram represent a project or situation within the project a a set of entity , outcome , and influence , togetherwith the relationship and effect between them . where an element in the influence diagram be uncertain a aresult of the existence of individual project risk or other source of uncertainty , this can be represent in theinfluence diagram use range or probability distribution . the influence diagram be then evaluate use asimulation technique , such a monte carlo analysis , to indicate which element have the great influenceon key outcome . output from an influence diagram be similar to other quantitative risk analysis method , include s-curves and tornado diagram ."
67,"11.4.3 perform quantitative risk analysis: outputs
",,
68,"11.4.3.1 project documents updates
","project documents that can be considered as outputs for this process include but are not limited to the risk report
described in section 11.2.3.2. the risk report will be updated to reflect the results of the quantitative risk analysis. this
will typically include:
m chances of project success, indicated by the probability that the project will achieve its key objectives (e.g.,
required end date or interim milestones, required cost target, etc.) given the identified individual project risks
and other sources of uncertainty; and
@ detailed probabilistic analysis of the project. key outputs from the quantitative risk analysis are present
such as s-curves, tornado diagrams, and criticality analysis, together with a narrative interpretation of the resu
possible detailed results of a quantitative risk analysis may include:
m= amount of contingency reserve needed to provide a specified level of confidence;

= identification of individual project risks or other sources of uncertainty that have the greatest effect o
project critical path; and

m= major drivers of overall project risk, with the greatest influence on uncertainty in project outcomes.
@ trends in quantitative risk analysis results. as the analysis is repeated at different times during the projec
cycle, trends may become apparent that inform the planning of risk responses.
@ recommended risk responses. the risk report may present suggested responses to the level of over:
project risk exposure or key individual project risks, based on the results of the quantitative risk analysis. the:
recommendations will form inputs to the plan risk responses process.
","project document that can be consider a output for this process include but be not limit to the risk reportdescribed in section 11.2.3.2. the risk report will be update to reflect the result of the quantitative risk analysis . thiswill typically include : m chance of project success , indicate by the probability that the project will achieve it key objective ( e.g. , required end date or interim milestone , require cost target , etc . ) give the identified individual project risksand other source of uncertainty ; and detail probabilistic analysis of the project . key output from the quantitative risk analysis be presentsuch a s-curves , tornado diagram , and criticality analysis , together with a narrative interpretation of the resupossible detailed result of a quantitative risk analysis may include : m= amount of contingency reserve need to provide a specified level of confidence ; = identification of individual project risk or other source of uncertainty that have the great effect oproject critical path ; andm= major driver of overall project risk , with the great influence on uncertainty in project outcome . trend in quantitative risk analysis result . a the analysis be repeat at different time during the projeccycle , trend may become apparent that inform the planning of risk response . recommend risk response . the risk report may present suggested response to the level of over : project risk exposure or key individual project risk , base on the result of the quantitative risk analysis . the : recommendation will form input to the plan risk responses process ."
69,"11.5 plan risk responses
","plan risk responses is the process of developing options, selecting strategies, and agreeing on actions to address
overall project risk exposure, as well as to treat individual project risks. the key benefit of this process is that it identifies
appropriate ways to address overall project risk and individual project risks. this process also allocates resources
and inserts activities into project documents and the project management plan as needed. this process is performed
throughout the project. the inputs, tools and techniques, and outputs of the process are depicted in figure 11-16.
figure 11-17 depicts the data flow diagram for the process.
figure 11-16. plan risk responses: inputs, tools & techniques, and outputs
Figure 11-17. Plan Risk Responses: Data Flow Diagram
Effective and appropriate risk responses can minimize individual threats, maximize individual opportunities, and
reduce overall project risk exposure. Unsuitable risk responses can have the converse effect. Once risks have been
identified, analyzed, and prioritized, plans should be developed by the nominated risk owner for addressing every
individual project risk the project team considers to be sufficiently important, either because of the threat it poses to the
project objectives or the opportunity it offers. The project manager should also consider how to respond appropriately to
the current level of overall project risk.
Risk responses should be appropriate for the significance of the risk, cost-effective in meeting the challenge, realistic
within the project context, agreed upon by all parties involved, and owned by a responsible person. Selecting the
optimal risk response from several options is often required. The strategy or mix of strategies most likely to be effective
should be selected for each risk. Structured decision-making techniques may be used to choose the most appropriate
response. For large or complex projects, it may be appropriate to use a mathematical optimization model or real options
analysis as a basis for a more robust economic analysis of alternative risk response strategies.
Specific actions are developed to implement the agreed-upon risk response strategy, including primary and ba
strategies, as necessary. A contingency plan (or fallback plan) can be developed for implementation if the sele
strategy turns out not to be fully effective or if an accepted risk occurs. Secondary risks should also be ident
Secondary risks are risks that arise as a direct result of implementing a risk response. A contingency reserve is «
allocated for time or cost. If developed, it may include identification of the conditions that trigger its use.
","plan risk response be the process of develop option , select strategy , and agree on action to addressoverall project risk exposure , as well a to treat individual project risk . the key benefit of this process be that it identifiesappropriate way to address overall project risk and individual project risk . this process also allocate resourcesand insert activity into project document and the project management plan a need . this process be performedthroughout the project . the input , tool and technique , and output of the process be depict in figure 11-16.figure 11-17 depict the data flow diagram for the process.figure 11-16. plan risk response : input , tool & technique , and outputsfigure 11-17 . plan risk response : data flow diagrameffective and appropriate risk response can minimize individual threat , maximize individual opportunity , andreduce overall project risk exposure . unsuitable risk response can have the converse effect . once risk have beenidentified , analyze , and prioritize , plan should be develop by the nominated risk owner for address everyindividual project risk the project team considers to be sufficiently important , either because of the threat it pose to theproject objective or the opportunity it offer . the project manager should also consider how to respond appropriately tothe current level of overall project risk.risk response should be appropriate for the significance of the risk , cost-effective in meet the challenge , realisticwithin the project context , agree upon by all party involve , and own by a responsible person . select theoptimal risk response from several option be often require . the strategy or mix of strategy most likely to be effectiveshould be select for each risk . structure decision-making technique may be use to choose the most appropriateresponse . for large or complex project , it may be appropriate to use a mathematical optimization model or real optionsanalysis a a basis for a more robust economic analysis of alternative risk response strategies.specific action be develop to implement the agreed-upon risk response strategy , include primary and bastrategies , a necessary . a contingency plan ( or fallback plan ) can be develop for implementation if the selestrategy turn out not to be fully effective or if an accept risk occur . secondary risk should also be identsecondary risk be risk that arise a a direct result of implement a risk response . a contingency reserve be allocate for time or cost . if develop , it may include identification of the condition that trigger it use ."
70,"11.5.1 plan risk responses: inputs
",,
71,"11.5.1.1 project management plan
","described in section 4.2.3.1. project management plan components include but are not limited to:
@ resource management plan. described in section 9.1.3.1. the resource management plan is used to help
determine how resources allocated to agreed-upon risk responses will be coordinated with other project resources.
@ risk management plan. described in section 11.1.3.1. risk management roles and responsibilities and r
thresholds are used in this process.
@ cost baseline. described in section 7.3.3.1. the cost baseline has information on the contingency fund that is
allocated to respond to risks.
",describe in section 4.2.3.1. project management plan component include but be not limit to : resource management plan . describe in section 9.1.3.1. the resource management plan be use to helpdetermine how resource allocate to agreed-upon risk response will be coordinate with other project resource . risk management plan . describe in section 11.1.3.1. risk management role and responsibility and rthresholds be use in this process . cost baseline . describe in section 7.3.3.1. the cost baseline have information on the contingency fund that isallocated to respond to risk .
72,"11.5.1.2 project documents
","@ lessons learned register. described in section 4.4.3.1. lessons learned about effective risk responses used in
earlier phases of the project are reviewed to determine if similar responses might be useful during the remainder
of the project.
@ risk register. described in section 11.2.3.1. the risk register contains details of individual project risks that
have been identified and prioritized, and for which risk responses are required. the priority level for each risk
can help to guide the selection of appropriate risk responses. for example, high-priority threats or opportunities
may require priority action and highly proactive response strategies. threats and opportunities in the low-priority
zone may not require proactive management action beyond being placed in the risk register as part of the watch
list or adding a contingency reserve.
the risk register identifies the nominated risk owner for each risk. it may also contain preliminary risk responses
identified earlier in the project risk management process. the risk register may provide other data on identified
risks that can assist in planning risk responses, including root causes, risk triggers and warning signs, risks
requiring responses in the near term, and risks where a need for additional analysis has been identified.
@ risk report. described in section 11.2.3.2. the risk report presents the current level of overall risk exposure of
the project that will inform selection of the risk response strategy. the risk report may also list individual project
risks in priority order and provide additional analysis of the distribution of individual project risks that may inform
risk response selection.
","lesson learn register . describe in section 4.4.3.1. lesson learn about effective risk response use inearlier phase of the project be review to determine if similar response might be useful during the remainderof the project . risk register . describe in section 11.2.3.1. the risk register contain detail of individual project risk thathave be identify and prioritize , and for which risk response be require . the priority level for each riskcan help to guide the selection of appropriate risk response . for example , high-priority threat or opportunitiesmay require priority action and highly proactive response strategy . threat and opportunity in the low-priorityzone may not require proactive management action beyond be place in the risk register a part of the watchlist or add a contingency reserve.the risk register identify the nominated risk owner for each risk . it may also contain preliminary risk responsesidentified earlier in the project risk management process . the risk register may provide other data on identifiedrisks that can assist in plan risk response , include root cause , risk trigger and warn sign , risksrequiring response in the near term , and risk where a need for additional analysis have be identify . risk report . describe in section 11.2.3.2. the risk report present the current level of overall risk exposure ofthe project that will inform selection of the risk response strategy . the risk report may also list individual projectrisks in priority order and provide additional analysis of the distribution of individual project risk that may informrisk response selection ."
73,"11.5.1.3 enterprise environmental factors
","the enterprise environmental factors that can influence the plan risk responses process include but are not limited
to the risk appetite and thresholds of key stakeholders.
",the enterprise environmental factor that can influence the plan risk responses process include but be not limitedto the risk appetite and threshold of key stakeholder .
74,"11.5.1.4 organizational process assets
","the organizational process assets that can influence the plan risk responses process include but are
@ templates for the risk management plan, risk register, and risk report;

- litt anal aatnhanaas oe
","the organizational process asset that can influence the plan risk responses process include but be template for the risk management plan , risk register , and risk report ; - litt anal aatnhanaas oe"
75,"11.5.2 plan risk responses: tools and techniques
",,
76,"11.5.2.1 expert judgment
","described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized knowlec
in the following topics:
",describe in section 4.1.2.1. expertise should be consider from individual or group with specialized knowlecin the following topic :
77,"11.5.2.2 data gathering
","data-gathering techniques that can be used for this process include but are not limited to interviews (see
section 5.2.2.2). development of responses to individual project risks and overall project risk may be undertaken
during structured or semi-structured interviews (see section 5.2.2.2) with risk owners. other stakeholders may
also be interviewed if necessary. the interviewer should promote an environment of trust and confidentiality in the
interview setting to encourage honest and unbiased decisions.
",data-gathering technique that can be use for this process include but be not limit to interview ( seesection 5.2.2.2 ) . development of response to individual project risk and overall project risk may be undertakenduring structured or semi-structured interview ( see section 5.2.2.2 ) with risk owner . other stakeholder mayalso be interview if necessary . the interviewer should promote an environment of trust and confidentiality in theinterview set to encourage honest and unbiased decision .
78,"11.5.2.3 interpersonal and team skills
","interpersonal and team skills that can be used for this process includes but are not limited to facilitation (see
section 4.1.2.3). the use of facilitation improves the effectiveness of developing responses to individual project
risks and overall project risk. a skilled facilitator can help risk owners understand the risk, identify and compare
alternative possible risk response strategies, choose an appropriate response strategy, and identify and overcome

eniirroac nf hing
","interpersonal and team skill that can be use for this process include but be not limit to facilitation ( seesection 4.1.2.3 ) . the use of facilitation improve the effectiveness of develop response to individual projectrisks and overall project risk . a skilled facilitator can help risk owner understand the risk , identify and comparealternative possible risk response strategy , choose an appropriate response strategy , and identify and overcomeeniirroac nf hing"
79,"11.5.2.4 strategies for threats
","five alternative strategies may be considered for dealing with threats, as follows:
@ escalate. escalation is appropriate when the project team or the project sponsor agrees that a threat is outside
the scope of the project or that the proposed response would exceed the project manager’s authority. escalated
risks are managed at the program level, portfolio level, or other relevant part of the organization, and not on the
project level. the project manager determines who should be notified about the threat and communicates the
details to that person or part of the organization. it is important that ownership of escalated threats is accepted
by the relevant party in the organization. threats are usually escalated to the level that matches the objectives
that would be affected if the threat occurred. escalated threats are not monitored further by the project team after
escalation, although they may be recorded in the risk register for information.
@ Avoid. Risk avoidance is when the project team acts to eliminate the threat or protect the project from its
impact. It may be appropriate for high-priority threats with a high probability of occurrence and a large negative
impact. Avoidance may involve changing some aspect of the project management plan or changing the objective
that is in jeopardy in order to eliminate the threat entirely, reducing its probability of occurrence to zero. The
risk owner may also take action to isolate the project objectives from the risk’s impact if it were to occur.
Examples of avoidance actions may include removing the cause of a threat, extending the schedule, changing the
project strategy, or reducing scope. Some risks can be avoided by clarifying requirements, obtaining information,
improving communication, or acquiring expertise.
@ Transfer. Transfer involves shifting ownership of a threat to a third party to manage the risk and to bear the
impact if the threat occurs. Risk transfer often involves payment of a risk premium to the party taking on the
threat. Transfer can be achieved by a range of actions, which include but are not limited to the use of insurance,
performance bonds, warranties, guarantees, etc. Agreements may be used to transfer ownership and liability for
specified risks to another party.
 

@ Mitigate. In risk mitigation, action is taken to reduce the probability of occurrence and/or impact of a threat. Early
mitigation action is often more effective than trying to repair the damage after the threat has occurred. Adopting
less complex processes, conducting more tests, or choosing a more stable seller are examples of mitigation
actions. Mitigation may involve prototype development (see Section 5.2.2.8) to reduce the risk of scaling up from
a bench-scale model of a process or product. Where it is not possible to reduce probability, a mitigation response
might reduce the impact by targeting factors that drive the severity. For example, designing redundancy into a
system may reduce the impact from a failure of the original component.
@ Accept. Risk acceptance acknowledges the existence of a threat, but no proactive action is taken. This strategy
may be appropriate for low-priority threats, and it may also be adopted where it is not possible or cost-effective
to address a threat in any other way. Acceptance can be either active or passive. The most common active
acceptance strategy is to establish a contingency reserve, including amounts of time, money, or resources to
handle the threat if it occurs. Passive acceptance involves no proactive action apart from periodic review of the
threat to ensure that it does not change significantly.
","five alternative strategy may be consider for deal with threat , a follow : escalate . escalation be appropriate when the project team or the project sponsor agree that a threat be outsidethe scope of the project or that the propose response would exceed the project manager ’ s authority . escalatedrisks be manage at the program level , portfolio level , or other relevant part of the organization , and not on theproject level . the project manager determines who should be notify about the threat and communicate thedetails to that person or part of the organization . it be important that ownership of escalated threat be acceptedby the relevant party in the organization . threat be usually escalate to the level that match the objectivesthat would be affect if the threat occur . escalate threat be not monitor far by the project team afterescalation , although they may be record in the risk register for information . avoid . risk avoidance be when the project team act to eliminate the threat or protect the project from itsimpact . it may be appropriate for high-priority threat with a high probability of occurrence and a large negativeimpact . avoidance may involve change some aspect of the project management plan or change the objectivethat be in jeopardy in order to eliminate the threat entirely , reduce it probability of occurrence to zero . therisk owner may also take action to isolate the project objectives from the risk ’ s impact if it be to occur.examples of avoidance action may include remove the cause of a threat , extend the schedule , change theproject strategy , or reduce scope . some risk can be avoid by clarify requirement , obtain information , improve communication , or acquire expertise . transfer . transfer involve shift ownership of a threat to a third party to manage the risk and to bear theimpact if the threat occur . risk transfer often involve payment of a risk premium to the party take on thethreat . transfer can be achieve by a range of action , which include but be not limit to the use of insurance , performance bond , warranty , guarantee , etc . agreement may be use to transfer ownership and liability forspecified risk to another party . mitigate . in risk mitigation , action be take to reduce the probability of occurrence and/or impact of a threat . earlymitigation action be often more effective than try to repair the damage after the threat have occur . adoptingless complex process , conduct more test , or choose a more stable seller be example of mitigationactions . mitigation may involve prototype development ( see section 5.2.2.8 ) to reduce the risk of scale up froma bench-scale model of a process or product . where it be not possible to reduce probability , a mitigation responsemight reduce the impact by target factor that drive the severity . for example , design redundancy into asystem may reduce the impact from a failure of the original component . accept . risk acceptance acknowledge the existence of a threat , but no proactive action be take . this strategymay be appropriate for low-priority threat , and it may also be adopt where it be not possible or cost-effectiveto address a threat in any other way . acceptance can be either active or passive . the most common activeacceptance strategy be to establish a contingency reserve , include amount of time , money , or resource tohandle the threat if it occur . passive acceptance involve no proactive action apart from periodic review of thethreat to ensure that it do not change significantly ."
